state,variable,var_value,no_score_reason
Wyoming,court_curbing_bill,,
Alabama,democratic_leaning,23.5,
Alaska,democratic_leaning,41.0,
Arizona,democratic_leaning,56.2,
Arkansas,democratic_leaning,20.599999999999998,
California,democratic_leaning,89.7,
Colorado,democratic_leaning,73.7,
Connecticut,democratic_leaning,81.39999999999999,
Delaware,democratic_leaning,81.2,
Florida,democratic_leaning,49.5,
Georgia,democratic_leaning,58.8,
Hawaii,democratic_leaning,92.80000000000001,
Idaho,democratic_leaning,14.2,
Illinois,democratic_leaning,76.8,
Indiana,democratic_leaning,36.3,
Iowa,democratic_leaning,45.1,
Kansas,democratic_leaning,38.9,
Kentucky,democratic_leaning,22.7,
Louisiana,democratic_leaning,33.0,
Maine,democratic_leaning,68.60000000000001,
Maryland,democratic_leaning,97.39999999999999,
Massachusetts,democratic_leaning,95.89999999999999,
Michigan,democratic_leaning,60.099999999999994,
Minnesota,democratic_leaning,65.7,
Mississippi,democratic_leaning,34.300000000000004,
Missouri,democratic_leaning,37.4,
Montana,democratic_leaning,34.300000000000004,
Nebraska,democratic_leaning,33.5,
Nevada,democratic_leaning,58.199999999999996,
New Hampshire,democratic_leaning,65.7,
New Jersey,democratic_leaning,73.5,
New Mexico,democratic_leaning,69.3,
New York,democratic_leaning,83.0,
North Carolina,democratic_leaning,56.39999999999999,
North Dakota,democratic_leaning,12.6,
Ohio,democratic_leaning,47.4,
Oklahoma,democratic_leaning,15.2,
Oregon,democratic_leaning,76.5,
Pennsylvania,democratic_leaning,59.5,
Rhode Island,democratic_leaning,80.7,
South Carolina,democratic_leaning,40.5,
South Dakota,democratic_leaning,22.400000000000002,
Tennessee,democratic_leaning,25.3,
Texas,democratic_leaning,47.199999999999996,
Utah,democratic_leaning,29.599999999999998,
Vermont,democratic_leaning,100.0,
Virginia,democratic_leaning,69.1,
Washington,democratic_leaning,80.9,
West Virginia,democratic_leaning,7.000000000000001,
Wisconsin,democratic_leaning,59.0,
Wyoming,democratic_leaning,0.0,
Alabama,divided_government,100.0,
Alaska,divided_government,100.0,
Arizona,divided_government,0.0,
Arkansas,divided_government,100.0,
California,divided_government,100.0,
Colorado,divided_government,100.0,
Connecticut,divided_government,100.0,
Delaware,divided_government,100.0,
Florida,divided_government,100.0,
Georgia,divided_government,100.0,
Hawaii,divided_government,100.0,
Idaho,divided_government,100.0,
Illinois,divided_government,100.0,
Indiana,divided_government,100.0,
Iowa,divided_government,100.0,
Kansas,divided_government,0.0,
Kentucky,divided_government,0.0,
Louisiana,divided_government,100.0,
Maine,divided_government,0.0,
Maryland,divided_government,100.0,
Massachusetts,divided_government,100.0,
Michigan,divided_government,0.0,
Minnesota,divided_government,0.0,
Mississippi,divided_government,100.0,
Missouri,divided_government,100.0,
Montana,divided_government,100.0,
Nebraska,divided_government,,no data
Nevada,divided_government,0.0,
New Hampshire,divided_government,100.0,
New Jersey,divided_government,100.0,
New Mexico,divided_government,100.0,
New York,divided_government,100.0,
North Carolina,divided_government,0.0,
North Dakota,divided_government,100.0,
Ohio,divided_government,100.0,
Oklahoma,divided_government,100.0,
Oregon,divided_government,100.0,
Pennsylvania,divided_government,0.0,
Rhode Island,divided_government,100.0,
South Carolina,divided_government,100.0,
South Dakota,divided_government,100.0,
Tennessee,divided_government,100.0,
Texas,divided_government,100.0,
Utah,divided_government,100.0,
Vermont,divided_government,0.0,
Virginia,divided_government,100.0,
Washington,divided_government,100.0,
West Virginia,divided_government,100.0,
Wisconsin,divided_government,0.0,
Wyoming,divided_government,100.0,
Alabama,divided_legislatures,100.0,
Alaska,divided_legislatures,100.0,
Arizona,divided_legislatures,100.0,
Arkansas,divided_legislatures,100.0,
California,divided_legislatures,100.0,
Colorado,divided_legislatures,100.0,
Connecticut,divided_legislatures,100.0,
Delaware,divided_legislatures,100.0,
Florida,divided_legislatures,100.0,
Georgia,divided_legislatures,100.0,
Hawaii,divided_legislatures,100.0,
Idaho,divided_legislatures,100.0,
Illinois,divided_legislatures,100.0,
Indiana,divided_legislatures,100.0,
Iowa,divided_legislatures,100.0,
Kansas,divided_legislatures,100.0,
Kentucky,divided_legislatures,100.0,
Louisiana,divided_legislatures,100.0,
Maine,divided_legislatures,0.0,
Maryland,divided_legislatures,100.0,
Massachusetts,divided_legislatures,100.0,
Michigan,divided_legislatures,0.0,
Minnesota,divided_legislatures,0.0,
Mississippi,divided_legislatures,100.0,
Missouri,divided_legislatures,100.0,
Montana,divided_legislatures,100.0,
Nebraska,divided_legislatures,,no data
Nevada,divided_legislatures,100.0,
New Hampshire,divided_legislatures,100.0,
New Jersey,divided_legislatures,100.0,
New Mexico,divided_legislatures,100.0,
New York,divided_legislatures,100.0,
North Carolina,divided_legislatures,100.0,
North Dakota,divided_legislatures,100.0,
Ohio,divided_legislatures,100.0,
Oklahoma,divided_legislatures,100.0,
Oregon,divided_legislatures,100.0,
Pennsylvania,divided_legislatures,0.0,
Rhode Island,divided_legislatures,100.0,
South Carolina,divided_legislatures,100.0,
South Dakota,divided_legislatures,100.0,
Tennessee,divided_legislatures,100.0,
Texas,divided_legislatures,100.0,
Utah,divided_legislatures,100.0,
Vermont,divided_legislatures,100.0,
Virginia,divided_legislatures,100.0,
Washington,divided_legislatures,100.0,
West Virginia,divided_legislatures,100.0,
Wisconsin,divided_legislatures,100.0,
Wyoming,divided_legislatures,100.0,
Alabama,elected_supreme_justice,100.0,
Alaska,elected_supreme_justice,0.0,
Arizona,elected_supreme_justice,0.0,
Arkansas,elected_supreme_justice,100.0,
California,elected_supreme_justice,0.0,
Colorado,elected_supreme_justice,0.0,
Connecticut,elected_supreme_justice,0.0,
Delaware,elected_supreme_justice,0.0,
Florida,elected_supreme_justice,0.0,
Georgia,elected_supreme_justice,100.0,
Hawaii,elected_supreme_justice,0.0,
Idaho,elected_supreme_justice,100.0,
Illinois,elected_supreme_justice,100.0,
Indiana,elected_supreme_justice,0.0,
Iowa,elected_supreme_justice,0.0,
Kansas,elected_supreme_justice,0.0,
Kentucky,elected_supreme_justice,100.0,
Louisiana,elected_supreme_justice,100.0,
Maine,elected_supreme_justice,0.0,
Maryland,elected_supreme_justice,0.0,
Massachusetts,elected_supreme_justice,0.0,
Michigan,elected_supreme_justice,100.0,
Minnesota,elected_supreme_justice,100.0,
Mississippi,elected_supreme_justice,100.0,
Missouri,elected_supreme_justice,0.0,
Montana,elected_supreme_justice,100.0,
Nebraska,elected_supreme_justice,0.0,
Nevada,elected_supreme_justice,100.0,
New Hampshire,elected_supreme_justice,0.0,
New Jersey,elected_supreme_justice,0.0,
New Mexico,elected_supreme_justice,0.0,
New York,elected_supreme_justice,0.0,
North Carolina,elected_supreme_justice,100.0,
North Dakota,elected_supreme_justice,100.0,
Ohio,elected_supreme_justice,100.0,
Oklahoma,elected_supreme_justice,0.0,
Oregon,elected_supreme_justice,100.0,
Pennsylvania,elected_supreme_justice,100.0,
Rhode Island,elected_supreme_justice,0.0,
South Carolina,elected_supreme_justice,0.0,
South Dakota,elected_supreme_justice,0.0,
Tennessee,elected_supreme_justice,0.0,
Texas,elected_supreme_justice,100.0,
Utah,elected_supreme_justice,0.0,
Vermont,elected_supreme_justice,0.0,
Virginia,elected_supreme_justice,0.0,
Washington,elected_supreme_justice,100.0,
West Virginia,elected_supreme_justice,100.0,
Wisconsin,elected_supreme_justice,100.0,
Wyoming,elected_supreme_justice,0.0,
Alabama,free_speech,,
Alaska,free_speech,,
Arizona,free_speech,,
Arkansas,free_speech,,
California,free_speech,,
Colorado,free_speech,,
Connecticut,free_speech,,
Delaware,free_speech,,
Florida,free_speech,,
Georgia,free_speech,,
Hawaii,free_speech,,
Idaho,free_speech,,
Illinois,free_speech,,
Indiana,free_speech,,
Iowa,free_speech,,
Kansas,free_speech,,
Kentucky,free_speech,,
Louisiana,free_speech,,
Maine,free_speech,,
Maryland,free_speech,,
Massachusetts,free_speech,,
Michigan,free_speech,,
Minnesota,free_speech,,
Mississippi,free_speech,,
Missouri,free_speech,,
Montana,free_speech,,
Nebraska,free_speech,,
Nevada,free_speech,,
New Hampshire,free_speech,,
New Jersey,free_speech,,
New Mexico,free_speech,,
New York,free_speech,,
North Carolina,free_speech,,
North Dakota,free_speech,,
Ohio,free_speech,,
Oklahoma,free_speech,,
Oregon,free_speech,,
Pennsylvania,free_speech,,
Rhode Island,free_speech,,
South Carolina,free_speech,,
South Dakota,free_speech,,
Tennessee,free_speech,,
Texas,free_speech,,
Utah,free_speech,,
Vermont,free_speech,,
Virginia,free_speech,,
Washington,free_speech,,
West Virginia,free_speech,,
Wisconsin,free_speech,,
Wyoming,free_speech,,
Alabama,legislative_money_percapita,71.3,
Alaska,legislative_money_percapita,0.0,
Arizona,legislative_money_percapita,86.3,
Arkansas,legislative_money_percapita,72.6,
California,legislative_money_percapita,58.599999999999994,
Colorado,legislative_money_percapita,84.5,
Connecticut,legislative_money_percapita,70.39999999999999,
Delaware,legislative_money_percapita,68.7,
Florida,legislative_money_percapita,78.5,
Georgia,legislative_money_percapita,74.5,
Hawaii,legislative_money_percapita,63.9,
Idaho,legislative_money_percapita,75.0,
Illinois,legislative_money_percapita,9.9,
Indiana,legislative_money_percapita,63.4,
Iowa,legislative_money_percapita,28.1,
Kansas,legislative_money_percapita,70.39999999999999,
Kentucky,legislative_money_percapita,65.60000000000001,
Louisiana,legislative_money_percapita,65.5,
Maine,legislative_money_percapita,76.0,
Maryland,legislative_money_percapita,73.6,
Massachusetts,legislative_money_percapita,67.9,
Michigan,legislative_money_percapita,65.2,
Minnesota,legislative_money_percapita,74.9,
Mississippi,legislative_money_percapita,81.69999999999999,
Missouri,legislative_money_percapita,64.60000000000001,
Montana,legislative_money_percapita,71.7,
Nebraska,legislative_money_percapita,100.0,
Nevada,legislative_money_percapita,53.2,
New Hampshire,legislative_money_percapita,91.10000000000001,
New Jersey,legislative_money_percapita,68.0,
New Mexico,legislative_money_percapita,51.300000000000004,
New York,legislative_money_percapita,80.2,
North Carolina,legislative_money_percapita,65.9,
North Dakota,legislative_money_percapita,86.1,
Ohio,legislative_money_percapita,60.6,
Oklahoma,legislative_money_percapita,59.0,
Oregon,legislative_money_percapita,27.900000000000002,
Pennsylvania,legislative_money_percapita,43.9,
Rhode Island,legislative_money_percapita,57.9,
South Carolina,legislative_money_percapita,78.7,
South Dakota,legislative_money_percapita,72.89999999999999,
Tennessee,legislative_money_percapita,74.8,
Texas,legislative_money_percapita,58.3,
Utah,legislative_money_percapita,80.80000000000001,
Vermont,legislative_money_percapita,79.3,
Virginia,legislative_money_percapita,31.900000000000002,
Washington,legislative_money_percapita,61.3,
West Virginia,legislative_money_percapita,56.10000000000001,
Wisconsin,legislative_money_percapita,68.30000000000001,
Wyoming,legislative_money_percapita,69.39999999999999,
Alabama,local_news,,
Alaska,local_news,,
Arizona,local_news,,
Arkansas,local_news,,
California,local_news,,
Colorado,local_news,,
Connecticut,local_news,,
Delaware,local_news,,
Florida,local_news,,
Georgia,local_news,,
Hawaii,local_news,,
Idaho,local_news,,
Illinois,local_news,,
Indiana,local_news,,
Iowa,local_news,,
Kansas,local_news,,
Kentucky,local_news,,
Louisiana,local_news,,
Maine,local_news,,
Maryland,local_news,,
Massachusetts,local_news,,
Michigan,local_news,,
Minnesota,local_news,,
Mississippi,local_news,,
Missouri,local_news,,
Montana,local_news,,
Nebraska,local_news,,
Nevada,local_news,,
New Hampshire,local_news,,
New Jersey,local_news,,
New Mexico,local_news,,
New York,local_news,,
North Carolina,local_news,,
North Dakota,local_news,,
Ohio,local_news,,
Oklahoma,local_news,,
Oregon,local_news,,
Pennsylvania,local_news,,
Rhode Island,local_news,,
South Carolina,local_news,,
South Dakota,local_news,,
Tennessee,local_news,,
Texas,local_news,,
Utah,local_news,,
Vermont,local_news,,
Virginia,local_news,,
Washington,local_news,,
West Virginia,local_news,,
Wisconsin,local_news,,
Wyoming,local_news,,
Alabama,minority_share,39.4,
Alaska,minority_share,47.599999999999994,
Arizona,minority_share,53.7,
Arkansas,minority_share,31.6,
California,minority_share,80.9,
Colorado,minority_share,36.5,
Connecticut,minority_share,39.300000000000004,
Delaware,minority_share,46.1,
Florida,minority_share,56.3,
Georgia,minority_share,58.5,
Hawaii,minority_share,100.0,
Idaho,minority_share,16.5,
Illinois,minority_share,46.400000000000006,
Indiana,minority_share,21.4,
Iowa,minority_share,10.9,
Kansas,minority_share,26.1,
Kentucky,minority_share,12.9,
Louisiana,minority_share,50.2,
Maine,minority_share,0.0,
Maryland,minority_share,62.7,
Massachusetts,minority_share,33.0,
Michigan,minority_share,25.900000000000002,
Minnesota,minority_share,20.200000000000003,
Mississippi,minority_share,50.8,
Missouri,minority_share,21.0,
Montana,minority_share,10.299999999999999,
Nebraska,minority_share,21.099999999999998,
Nevada,minority_share,64.5,
New Hampshire,minority_share,4.3999999999999995,
New Jersey,minority_share,55.900000000000006,
New Mexico,minority_share,78.3,
New York,minority_share,55.00000000000001,
North Carolina,minority_share,43.3,
North Dakota,minority_share,12.4,
Ohio,minority_share,20.8,
Oklahoma,minority_share,42.8,
Oregon,minority_share,27.0,
Pennsylvania,minority_share,24.3,
Rhode Island,minority_share,31.3,
South Carolina,minority_share,40.9,
South Dakota,minority_share,15.4,
Tennessee,minority_share,28.1,
Texas,minority_share,73.5,
Utah,minority_share,21.6,
Vermont,minority_share,1.5,
Virginia,minority_share,46.0,
Washington,minority_share,38.4,
West Virginia,minority_share,1.5,
Wisconsin,minority_share,16.8,
Wyoming,minority_share,12.7,
Alabama,no_excuse_absentee,0.0,
Alaska,no_excuse_absentee,100.0,
Arizona,no_excuse_absentee,100.0,
Arkansas,no_excuse_absentee,0.0,
California,no_excuse_absentee,100.0,
Colorado,no_excuse_absentee,100.0,
Connecticut,no_excuse_absentee,100.0,
Delaware,no_excuse_absentee,0.0,
Florida,no_excuse_absentee,100.0,
Georgia,no_excuse_absentee,100.0,
Hawaii,no_excuse_absentee,100.0,
Idaho,no_excuse_absentee,100.0,
Illinois,no_excuse_absentee,100.0,
Indiana,no_excuse_absentee,100.0,
Iowa,no_excuse_absentee,0.0,
Kansas,no_excuse_absentee,100.0,
Kentucky,no_excuse_absentee,100.0,
Louisiana,no_excuse_absentee,0.0,
Maine,no_excuse_absentee,0.0,
Maryland,no_excuse_absentee,100.0,
Massachusetts,no_excuse_absentee,100.0,
Michigan,no_excuse_absentee,100.0,
Minnesota,no_excuse_absentee,100.0,
Mississippi,no_excuse_absentee,100.0,
Missouri,no_excuse_absentee,0.0,
Montana,no_excuse_absentee,100.0,
Nebraska,no_excuse_absentee,100.0,
Nevada,no_excuse_absentee,100.0,
New Hampshire,no_excuse_absentee,0.0,
New Jersey,no_excuse_absentee,100.0,
New Mexico,no_excuse_absentee,100.0,
New York,no_excuse_absentee,100.0,
North Carolina,no_excuse_absentee,100.0,
North Dakota,no_excuse_absentee,100.0,
Ohio,no_excuse_absentee,100.0,
Oklahoma,no_excuse_absentee,100.0,
Oregon,no_excuse_absentee,100.0,
