state,variable,value
New Mexico,minority_share,0.783
New York,minority_share,0.550
North Carolina,minority_share,0.433
North Dakota,minority_share,0.124
Ohio,minority_share,0.208
Oklahoma,minority_share,0.428
Oregon,minority_share,0.270
Pennsylvania,minority_share,0.243
Rhode Island,minority_share,0.313
South Carolina,minority_share,0.409
South Dakota,minority_share,0.154
Tennessee,minority_share,0.281
Texas,minority_share,0.735
Utah,minority_share,0.216
Vermont,minority_share,0.015
Virginia,minority_share,0.460
Washington,minority_share,0.384
West Virginia,minority_share,0.015
Wisconsin,minority_share,0.168
Wyoming,minority_share,0.127
Alabama,no_excuse_absentee,0
Alaska,no_excuse_absentee,1
Arizona,no_excuse_absentee,1
Arkansas,no_excuse_absentee,0
California,no_excuse_absentee,1
Colorado,no_excuse_absentee,1
Connecticut,no_excuse_absentee,1
Delaware,no_excuse_absentee,0
Florida,no_excuse_absentee,1
Georgia,no_excuse_absentee,1
Hawaii,no_excuse_absentee,1
Idaho,no_excuse_absentee,1
Illinois,no_excuse_absentee,1
Indiana,no_excuse_absentee,1
Iowa,no_excuse_absentee,0
Kansas,no_excuse_absentee,1
Kentucky,no_excuse_absentee,1
Louisiana,no_excuse_absentee,0
Maine,no_excuse_absentee,0
Maryland,no_excuse_absentee,1
Massachusetts,no_excuse_absentee,1
Michigan,no_excuse_absentee,1
Minnesota,no_excuse_absentee,1
Mississippi,no_excuse_absentee,1
Missouri,no_excuse_absentee,0
Montana,no_excuse_absentee,1
Nebraska,no_excuse_absentee,1
Nevada,no_excuse_absentee,1
New Hampshire,no_excuse_absentee,0
New Jersey,no_excuse_absentee,1
New Mexico,no_excuse_absentee,1
New York,no_excuse_absentee,1
North Carolina,no_excuse_absentee,1
North Dakota,no_excuse_absentee,1
Ohio,no_excuse_absentee,1
Oklahoma,no_excuse_absentee,1
Oregon,no_excuse_absentee,1
Pennsylvania,no_excuse_absentee,1
Rhode Island,no_excuse_absentee,1
South Carolina,no_excuse_absentee,0
South Dakota,no_excuse_absentee,1
Tennessee,no_excuse_absentee,0
Texas,no_excuse_absentee,0
Utah,no_excuse_absentee,1
Vermont,no_excuse_absentee,1
Virginia,no_excuse_absentee,1
Washington,no_excuse_absentee,1
West Virginia,no_excuse_absentee,0
Wisconsin,no_excuse_absentee,1
